ok,path,file,variant,palette,rows,duration_s,fps_inst_mean,fps_inst_median,fps_inst_p05,fps_inst_p95,smoothed_fps_mean,smoothed_fps_median,frame_ms_mean,frame_ms_median,frame_ms_p95,frame_ms_p99,throughput_particles_per_s,n,width,height,vsync,threads,ssaa,render_frac,sym
True,paralelo/runs/par_neon_5.csv,par_neon_5.csv,parallel,neon,20,9.6,108.08419999999998,123.875,58.7459,129.05294999999998,97.1772,96.453,10.24230824927975,8.072677977241268,17.02248895945433,17.093751727551375,123875.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_6.csv,par_neon_6.csv,parallel,neon,21,10.1,107.78619047619047,119.734,58.401,159.664,97.97504761904763,97.834,10.412236711854538,8.351846593281776,17.122994469272786,17.191829443339145,119734.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_7.csv,par_neon_7.csv,parallel,neon,21,10.116,107.47214285714287,115.193,58.227,170.67,97.64709523809523,98.395,10.333158194459104,8.681083051921558,17.17416318889862,17.186207775293475,115193.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_8.csv,par_neon_8.csv,parallel,neon,21,10.075999999999999,97.60147619047618,85.563,58.218,168.141,97.17652380952381,95.515,11.738666277265574,11.687294741886095,17.176818166202892,17.207808414344782,85563.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_neon_9.csv,par_neon_9.csv,parallel,neon,21,10.042,103.98428571428572,117.754,59.145,126.021,96.68371428571427,95.287,10.555065986369343,8.492280517010037,16.9075999661848,17.104588471348666,117754.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_1.csv,par_ocean_1.csv,parallel,ocean,21,10.075999999999999,110.18385714285714,117.804,58.63,169.014,103.70990476190475,102.407,10.338148451851398,8.488676106074497,17.056114617090227,17.065197083271947,117804.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_10.csv,par_ocean_10.csv,parallel,ocean,21,10.058,102.61228571428572,118.935,59.533,127.959,101.16947619047617,101.019,10.750839293909623,8.407953924412494,16.79740648043942,17.30113547335602,118935.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_2.csv,par_ocean_2.csv,parallel,ocean,21,10.064,102.93847619047617,114.558,59.774,145.253,100.51690476190477,100.079,10.772906594114344,8.729202674627698,16.729681801452138,17.160476163433234,114558.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_3.csv,par_ocean_3.csv,parallel,ocean,21,10.084,117.55219047619048,121.546,59.836,180.511,102.15585714285714,102.242,9.344084875052953,8.227337798035311,16.7123470820242,16.722185766418217,121546.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_4.csv,par_ocean_4.csv,parallel,ocean,21,10.066,113.48328571428573,118.497,60.054,171.134,100.30371428571429,99.881,9.724571859969116,8.439032211785952,16.65168015452759,16.919138857376506,118497.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_5.csv,par_ocean_5.csv,parallel,ocean,21,10.067,116.725,121.122,58.48,166.446,101.56280952380955,100.808,9.561784149541406,8.256138438929344,17.099863201094394,17.104777375161316,121122.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_6.csv,par_ocean_6.csv,parallel,ocean,21,10.075000000000001,108.39276190476188,116.078,59.669,129.688,100.37795238095238,100.893,9.99374192705836,8.61489687968435,16.759121151686806,16.814398274494604,116078.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_7.csv,par_ocean_7.csv,parallel,ocean,21,10.075,102.03633333333333,117.321,59.643,134.407,100.73828571428571,99.874,11.089124271843119,8.523623221759106,16.7664269067619,16.772501699119424,117321.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_8.csv,par_ocean_8.csv,parallel,ocean,21,10.084,118.01533333333336,120.174,59.474,170.599,101.00604761904762,100.77,9.511443910655274,8.321267495464909,16.81407001378754,16.876327516271022,120174.0,1000,1280,720,0,10.0,1.0,1.0,6.0
True,paralelo/runs/par_ocean_9.csv,par_ocean_9.csv,parallel,ocean,21,10.051,112.35828571428573,115.58,59.539,172.007,102.92823809523811,103.586,9.883476926754403,8.652015919709292,16.79571373385512,16.937336168136312,115580.0,1000,1280,720,0,10.0,1.0,1.0,6.0
